"CITATIONS,""TECTONIC SETTING"",""LOCATION"",""LOCATION COMMENT"",""LATITUDE MIN"",""LATITUDE MAX"",""LONGITUDE MIN"",""LONGITUDE MAX"",""LAND OR SEA"",""ELEVATION MIN"",""ELEVATION MAX"",""SAMPLE NAME"",""ROCK NAME"",""MIN. AGE (YRS.)"",""MAX. AGE (YRS.)"",""GEOL."",""AGE"",""ERUPTION DAY"",""ERUPTION MONTH"",""ERUPTION YEAR"",""ROCK TEXTURE"",""ROCK TYPE"",""DRILL DEPTH MIN"",""DRILL DEPTHAX"",""ALTERATION"",""MINERAL"",""MATERIAL"",""SIO2(WT%)"",""TIO2(WT%)"",""B2O3(WT%)"",""AL2O3(WT%)"",""CR2O3(WT%)"",""FE2O3(WT%)"",""FEO(WT%)"",""FEOT(WT%)"",""CAO(WT%)"",""MGO(WT%)"",""MNO(WT%)"",""NIO(WT%)"",""K2O(WT%)"",""NA2O(WT%)"",""P2O5(WT%)"",""H2O(WT%)"",""H2OP(WT%)"",""H2OM(WT%)"",""H2OT(WT%)"",""CO2(WT%)"",""CO1(WT%)"",""F(WT%)"",""CL(WT%)"",""CL2(WT%)"",""OH(WT%)"",""CH4(WT%)"",""SO2(WT%)"",""SO3(WT%)"",""SO4(WT%)"",""S(WT%)"",""LOI(WT%)"",""VOLATILES(WT%)"",""O(WT%)"",""OTHERS(WT%)"",""HE(CCM/G)"",""HE(CCMSTP/G)"",""HE3(CCMSTP/G)"",""HE3(AT/G)"",""HE4(CCM/G)"",""HE4(CCMSTP/G)"",""HE4(AT/G)"",""HE4(MOLE/G)"",""HE4(NCC/G)"",""HE(NCC/G)"",""LI(PPM)"",""BE(PPM)"",""B(PPM)"",""C(PPM)"",""CO2(PPM)"",""F(PPM)"",""NA(PPM)"",""MG(PPM)"",""AL(PPM)"",""P(PPM)"",""S(PPM)"",""CL(PPM)"",""K(PPM)"",""CA(PPM)"",""SC(PPM)"",""TI(PPM)"",""V(PPM)"",""CR(PPM)"",""MN(PPM)"",""FE(PPM)"",""CO(PPM)"",""NI(PPM)"",""CU(PPM)"",""ZN(PPM)"",""GA(PPM)"",""GE(PPM)"",""AS(PPM)"",""SE(PPM)"",""BR(PPM)"",""RB(PPM)"",""SR(PPM)"",""Y(PPM)"",""ZR(PPM)"",""NB(PPM)"",""MO(PPM)"",""RU(PPM)"",""RH(PPM)"",""PD(PPM)"",""AG(PPM)"",""CD(PPM)"",""IN(PPM)"",""SN(PPM)"",""SB(PPM)"",""TE(PPM)"",""I(PPM)"",""CS(PPM)"",""BA(PPM)"",""LA(PPM)"",""CE(PPM)"",""PR(PPM)"",""ND(PPM)"",""SM(PPM)"",""EU(PPM)"",""GD(PPM)"",""TB(PPM)"",""DY(PPM)"",""HO(PPM)"",""ER(PPM)"",""TM(PPM)"",""YB(PPM)"",""LU(PPM)"",""HF(PPM)"",""TA(PPM)"",""W(PPM)"",""RE(PPM)"",""OS(PPM)"",""IR(PPM)"",""PT(PPM)"",""AU(PPM)"",""HG(PPM)"",""TL(PPM)"",""PB(PPM)"",""BI(PPM)"",""TH(PPM)"",""U(PPM)"",""ND143_ND144"",""ND143_ND144_INI"",""EPSILON_ND"",""SR87_SR86"",""SR87_SR86_INI"",""PB206_PB204"",""PB206_PB204_INI"",""PB207_PB204"",""PB207_PB204_INI"",""PB208_PB204"",""PB208_PB204_INI"",""OS184_OS188"",""OS186_OS188"",""OS187_OS186"",""OS187_OS188"",""RE187_OS186"",""RE187_OS188"",""HF176_HF177"",""HE3_HE4"",""HE3_HE4(R/R(A))"",""HE4_HE3"",""HE4_HE3(R/R(A))"",""K40_AR40"",""AR40_K40"",""UNIQUE_ID"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14277B [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""79.35"",""0.14"","""",""10.24"","""","""","""",""2.54"",""0.11"",""1.45"",""0.02"","""",""2.43"",""2.62"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.85"","""","""","""","""","""","""","""","""","""","""","""","""","""",""8.819"",""2.361"","""","""","""","""","""","""","""","""","""","""","""","""",""1.642"","""","""",""16.344"","""","""",""0.53"",""0.491"",""1.9"",""41.435"",""19.796"","""","""","""","""",""49.775"",""31.002"",""63.045"",""330.418"",""16.344"",""1.498"","""","""","""","""","""","""",""2.966"","""","""","""",""1.755"",""498.515"",""56.178"",""117.644"",""13.586"",""51.251"",""10.86"",""1.828"",""10.529"",""1.72"",""10.826"",""2.344"",""6.936"",""1.052"",""6.758"",""1.034"",""9.42"",""1.334"",""1.822"","""","""","""","""","""","""","""",""5.317"",""0.037"",""11.231"",""2.579"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120810"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_DBDr1375B [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""78.85"",""0.152"","""",""10.76"","""","""","""",""2.56"",""0.16"",""1.08"",""0.017"","""",""2.61"",""2.61"",""0.031"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.87"","""","""","""","""","""","""","""","""","""","""","""","""","""",""8.45"",""2.634"","""","""","""","""","""","""","""","""","""","""","""","""",""2.259"","""",""0.62"",""16.894"","""","""",""0.284"",""0.239"",""7.097"",""40.506"",""21.079"","""","""","""","""",""27.133"",""22.94"",""61.418"",""395.313"",""18.244"",""0.782"","""","""","""","""","""","""",""2.95"","""","""","""",""1.163"",""567.531"",""58.547"",""120.32"",""14.282"",""54.04"",""10.914"",""1.857"",""10.099"",""1.603"",""9.856"",""2.121"",""6.137"",""0.902"",""6.157"",""0.919"",""9.424"",""1.792"",""1.762"","""","""","""","""","""","""","""",""4.331"",""0.032"",""10.241"",""2.024"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120811"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14277A [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""78.8"",""0.14"","""",""10.7"","""","""","""",""2.73"",""0.18"",""1.04"",""0.02"","""",""2.22"",""3.37"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.64"","""","""","""","""","""","""","""","""","""","""","""","""","""",""8.278"",""2.163"","""","""","""","""","""","""","""","""","""","""","""","""",""1.824"","""",""3.1"",""9.003"","""","""",""0.223"","""",""5.168"",""40.812"",""19.848"","""","""","""","""",""37.647"",""34.764"",""64.707"",""320.328"",""16.96"",""0.69"","""","""","""","""","""","""",""3.213"","""","""","""",""1.078"",""474.765"",""56.135"",""112.584"",""13.437"",""51.135"",""10.632"",""1.865"",""10.833"",""1.798"",""11.191"",""2.404"",""7.086"",""1.046"",""6.816"",""1.036"",""9.121"",""1.331"",""1.318"","""","""","""","""","""","""","""",""5.283"",""0.092"",""10.942"",""2.574"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120812"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14276B [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""78.21"",""0.14"","""",""10.97"","""","""","""",""2.66"",""0.18"",""1.08"",""0.01"","""",""2.68"",""3.22"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.65"","""","""","""","""","""","""","""","""","""","""","""","""","""",""8.005"",""2.252"","""","""","""","""","""","""","""","""","""","""","""","""",""1.887"","""","""",""24.385"","""","""",""0.227"","""",""1.862"",""41.862"",""21.367"","""","""","""","""",""44.17"",""37.503"",""64.476"",""344.919"",""17.832"",""0.551"","""","""","""","""","""","""",""2.737"","""","""","""",""1.043"",""536.611"",""55.963"",""113.615"",""13.55"",""52.412"",""10.884"",""1.801"",""10.962"",""1.808"",""11.208"",""2.415"",""7.132"",""1.077"",""6.972"",""1.058"",""9.882"",""1.356"",""1.157"","""","""","""","""","""","""","""",""6.742"",""0.03"",""11.674"",""2.671"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120813"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14276A [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""78.18"",""0.15"","""",""10.84"","""","""","""",""2.83"",""0.19"",""1.02"",""0.02"","""",""2.83"",""3.09"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.67"","""","""","""","""","""","""","""","""","""","""","""","""","""",""10.606"",""2.18"","""","""","""","""","""","""","""","""","""","""","""","""",""1.773"","""","""",""18.775"","""","""",""0.215"","""",""2.307"",""40.381"",""22.496"","""","""","""","""",""46.28"",""35.162"",""71.259"",""351.688"",""17.582"",""0.822"","""","""","""","""","""","""",""3.33"","""","""","""",""0.596"",""581.007"",""47.276"",""96.896"",""11.627"",""44.912"",""9.626"",""1.815"",""10.655"",""1.859"",""12.033"",""2.637"",""7.807"",""1.175"",""7.657"",""1.139"",""9.867"",""1.348"",""1.021"","""","""","""","""","""","""","""",""7.05"",""0.039"",""11.731"",""2.724"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120814"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14276C [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""78.1"",""0.14"","""",""10.79"","""","""","""",""2.87"",""0.18"",""1.46"",""0.02"","""",""2.2"",""3.16"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.94"","""","""","""","""","""","""","""","""","""","""","""","""","""",""14.796"",""2.443"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""10.245"","""","""",""0.447"","""",""1.444"",""46.742"",""19.54"","""","""","""","""",""34.611"",""27.642"",""62.971"",""319.71"",""16.04"",""0.558"","""","""","""","""","""","""",""3.339"","""","""","""",""1.554"",""451.993"",""50.876"",""101.997"",""12.419"",""47.323"",""10.401"",""1.847"",""10.528"",""1.833"",""11.915"",""2.531"",""7.557"",""1.145"",""7.384"",""1.106"",""9.814"",""1.377"",""1.033"","""","""","""","""","""","""","""",""4.825"",""0.039"",""12.771"",""3.058"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120815"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_DBDR1375A [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.93"",""0.148"","""",""10.95"","""","""","""",""2.85"",""0.17"",""1.47"",""0.025"","""",""2.39"",""3.16"",""0.032"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.73"","""","""","""","""","""","""","""","""","""","""","""","""","""",""14.28"",""2.549"","""","""","""","""","""","""","""","""","""","""","""","""",""1.793"","""",""0.894"",""11.148"","""","""",""0.391"",""0.352"",""2.344"",""51.981"",""21.428"","""","""","""","""",""20.35"",""21.754"",""44.833"",""380.253"",""17.812"",""0.84"","""","""","""","""","""","""",""2.937"","""","""","""",""1.195"",""512.324"",""43.753"",""89.305"",""10.664"",""40.575"",""7.872"",""1.311"",""7.509"",""1.202"",""7.622"",""1.638"",""4.821"",""0.706"",""4.84"",""0.715"",""9.177"",""1.674"",""0.806"","""","""","""","""","""","""","""",""4.309"",""0.02"",""8.361"",""2.002"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120816"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14275B [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.75"",""0.15"","""",""11.16"","""","""","""",""2.65"",""0.45"",""0.51"",""0.02"","""",""2.89"",""3.92"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.35"","""","""","""","""","""","""","""","""","""","""","""","""","""",""8.779"",""2.301"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1.094"",""12.537"","""","""",""0.376"",""0.491"",""0.377"",""37.392"",""19.471"","""","""","""","""",""31.852"",""63.862"",""54.629"",""316.878"",""15.761"",""1.346"","""","""","""","""",""0.027"","""",""2.579"","""","""","""",""0.265"",""603.17"",""44.623"",""91.989"",""11.239"",""42.718"",""9.129"",""1.822"",""8.935"",""1.565"",""10.258"",""2.22"",""6.619"",""1.021"",""6.861"",""1.026"",""9.998"",""1.411"",""0.171"","""","""","""","""","""","""","""",""7.214"",""0.11"",""12.496"",""3.227"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120817"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14275A [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""74.87"",""0.54"","""",""12.46"","""","""","""",""2.8"",""0.61"",""1.03"",""0.05"","""",""2.19"",""4.8"",""0.09"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.37"","""","""","""","""","""","""","""","""","""","""","""","""","""",""12.303"",""2.54"","""","""","""","""","""","""","""","""","""","""","""","""",""6.106"","""",""22.038"",""14.237"","""","""",""2.029"",""1.956"",""0.369"",""53.79"",""17.632"","""","""","""","""",""33.685"",""70.231"",""50.515"",""459.218"",""18.85"",""1.069"","""","""","""","""","""","""",""6.108"","""","""","""",""0.282"",""598.667"",""81.641"",""160.528"",""18.711"",""66.626"",""11.441"",""2.387"",""9.912"",""1.528"",""9.297"",""1.957"",""5.661"",""0.86"",""5.749"",""0.881"",""12.575"",""1.311"",""0.263"","""","""","""","""","""","""","""",""6.936"",""0.532"",""11.689"",""2.932"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120818"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MUNDO NOVO RHYOLITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_DBDr1375C [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""73.97"",""0.157"","""",""12.92"","""","""","""",""3.7"",""0.21"",""1.05"",""0.02"","""",""2.82"",""3.95"",""0.033"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.73"","""","""","""","""","""","""","""","""","""","""","""","""","""",""8.154"",""3.164"","""","""","""","""","""","""","""","""","""","""","""","""",""2.423"","""",""0.947"",""10.826"","""","""",""0.887"",""0.329"",""1.178"",""43.293"",""26.682"","""","""","""","""",""20.722"",""25.49"",""54.682"",""496.88"",""19.503"",""0.731"","""","""","""","""","""","""",""2.913"","""","""","""",""1.593"",""631.867"",""54.427"",""106.778"",""13.072"",""50.5"",""10.362"",""1.693"",""9.701"",""1.557"",""9.577"",""2.043"",""5.754"",""0.813"",""5.661"",""0.825"",""11.694"",""2.019"",""2.065"","""","""","""","""","""","""","""",""5.142"",""0.024"",""9.913"",""2.623"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120819"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / BOA SORTE GRANITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14-268  [20769]"",""GRANITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""PLU"","""","""","""","""",""WR [20769] "",""72.63"",""0.54"","""",""12.21"","""","""","""",""3.88"",""1.71"",""1.18"",""0.06"","""",""3.35"",""3.22"",""0.13"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.51"","""","""","""","""","""","""","""","""","""","""","""","""","""",""15.984"",""2.384"","""","""","""","""","""","""","""","""","""","""","""","""",""10.066"","""",""31.662"",""8.272"","""","""",""6.026"",""6.627"",""1.193"",""45.759"",""18.369"","""","""","""","""",""115.751"",""74.715"",""53.988"",""344.758"",""18.694"",""1.656"","""","""","""","""",""0.06"","""",""3.537"","""","""","""",""1.234"",""506.345"",""58.991"",""120.159"",""14.119"",""51.445"",""10.235"",""1.551"",""9.769"",""1.561"",""9.635"",""2.025"",""5.874"",""0.857"",""5.542"",""0.849"",""9.555"",""1.345"",""0.438"","""","""","""","""","""","""","""",""12.216"",""0.018"",""14.154"",""1.949"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120820"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / BOA SORTE GRANITE"","""",""-12"",""-12"",""-40.3"",""-40.3"",""SAE"","""","""",""s_TZD14-269  [20769]"",""GRANITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""PLU"","""","""","""","""",""WR [20769] "",""78.32"",""0.14"","""",""10.62"","""","""","""",""2.52"",""0.59"",""1.33"",""0.03"","""",""1.61"",""3.94"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.46"","""","""","""","""","""","""","""","""","""","""","""","""","""",""9.709"",""1.893"","""","""","""","""","""","""","""","""","""","""","""","""",""1.704"","""",""0.953"",""2.604"","""","""",""1.149"",""0.935"","""",""15.676"",""20.322"","""","""","""","""",""32.373"",""61.766"",""62.473"",""333.293"",""15.678"",""0.233"","""","""","""","""",""0.016"","""",""3.941"","""","""","""",""0.231"",""311.611"",""44.564"",""101.401"",""11.079"",""42.401"",""9.401"",""1.579"",""10.072"",""1.723"",""10.939"",""2.371"",""6.96"",""1.057"",""6.93"",""1.038"",""9.594"",""1.287"",""0.849"","""","""","""","""","""","""","""",""5.205"","""",""9.567"",""2.428"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120821"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MEIRAS GRANITE"","""",""-12"",""-12"",""-40"",""-40"",""SAE"","""","""",""s_WMS-20B [20769]"",""GRANITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""PLU"","""","""","""","""",""WR [20769] "",""71.45"",""0.32"","""",""14.32"","""","""","""",""2.94"",""2.31"",""0.69"",""0.071"","""",""2.38"",""4.61"",""0.136"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.52"","""","""","""","""","""","""","""","""","""","""","""","""","""",""20.662"",""3.531"","""","""","""","""","""","""","""","""","""","""","""","""",""5.295"","""",""22.024"",""20.658"","""","""",""5.119"",""5.385"",""6.332"",""67.813"",""22.857"","""","""","""","""",""117.215"",""159.448"",""42.521"",""212.364"",""26.846"","""","""","""","""","""",""0.126"","""",""4.471"","""","""","""",""1.761"",""169.572"",""38.239"",""71.128"",""8.295"",""29.559"",""6.753"",""0.835"",""7.377"",""1.302"",""7.919"",""1.602"",""4.248"",""0.564"",""3.193"",""0.43"",""5.908"",""1.6"",""0.055"","""","""","""","""","""","""","""",""23.045"",""0.069"",""17.426"",""1.188"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120822"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MEIRAS GRANITE"","""",""-12"",""-12"",""-40"",""-40"",""SAE"","""","""",""s_WMS-14A [20769]"",""GRANITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""PLU"","""","""","""","""",""WR [20769] "",""65.07"",""0.645"","""",""15.23"","""","""","""",""6.25"",""2.92"",""1.34"",""0.067"","""",""1.99"",""4.68"",""0.309"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.95"","""","""","""","""","""","""","""","""","""","""","""","""","""",""43.927"",""3.812"","""","""","""","""","""","""","""","""","""","""","""","""",""12.115"","""",""35.315"",""18.921"","""","""",""10.16"",""9.969"",""10.899"",""57.948"",""26.419"","""","""","""","""",""167.796"",""226.292"",""64.453"",""478.701"",""35.455"","""","""","""","""","""",""0.06"","""",""9.187"","""","""","""",""3.687"",""149.657"",""84.814"",""163.216"",""17.844"",""61.541"",""11.744"",""1.516"",""11.277"",""1.787"",""10.566"",""2.231"",""6.472"",""0.957"",""6.014"",""0.889"",""11.749"",""2.652"",""0.201"","""","""","""","""","""","""","""",""15.082"",""0.117"",""30.476"",""3.365"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120823"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / BOA VISTA GRANITE"","""",""-14"",""-14"",""-41"",""-41"",""SAE"","""","""",""s_TZD-213 [20769]"",""GRANITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""PLU"","""","""","""","""",""WR [20769] "",""67.16"",""0.525"","""",""15.63"","""","""","""",""4.78"",""3.04"",""1.06"",""0.104"","""",""1.5"",""5.4"",""0.214"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.43"","""","""","""","""","""","""","""","""","""","""","""","""","""",""28.967"",""3.348"","""","""","""","""","""","""","""","""","""","""","""","""",""6.679"","""",""35.962"",""15.545"","""","""",""9.27"",""8.967"",""25.939"",""98.262"",""24.77"","""","""","""","""",""67.2"",""136.894"",""55.317"",""491.597"",""26.069"",""0.254"","""","""","""","""",""0.196"","""",""2.781"","""","""","""",""0.852"",""115.745"",""124.524"",""221.25"",""25.282"",""77.351"",""13.104"",""1.261"",""13.111"",""1.977"",""11.638"",""2.166"",""5.639"",""0.765"",""4.262"",""0.569"",""11.147"",""1.432"",""0.04"","""","""","""","""","""","""","""",""15.068"",""0.033"",""24.734"",""1.338"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120824"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / BOA VISTA GRANITE"","""",""-14"",""-14"",""-41"",""-41"",""SAE"","""","""",""s_TZD-199 A [20769]"",""GRANITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""PLU"","""","""","""","""",""WR [20769] "",""69.22"",""0.486"","""",""14.84"","""","""","""",""3.76"",""2.65"",""0.93"",""0.072"","""",""1.69"",""4.57"",""0.182"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1.09"","""","""","""","""","""","""","""","""","""","""","""","""","""",""11.452"",""3.714"","""","""","""","""","""","""","""","""","""","""","""","""",""5.177"","""",""29.036"",""23.664"","""","""",""6.527"",""10.708"",""10.991"",""57.918"",""23.349"","""","""","""","""",""61.969"",""182.512"",""83.547"",""455.657"",""30.321"",""0.133"","""","""","""","""",""0.164"","""",""5.779"","""","""","""",""0.655"",""422.55"",""138.233"",""191.107"",""24.975"",""82.947"",""15.174"",""1.979"",""15.969"",""2.462"",""14.681"",""2.912"",""8.062"",""1.204"",""7.235"",""0.98"",""10.495"",""3.643"",""0.158"","""","""","""","""","""","""","""",""17.388"",""0.083"",""23.845"",""2.152"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120825"","
